st,rain-max,rain-avg,rain-sum,press-max,press-min,press-avg,RH-max,RH-avg,RH-min,temp-max,temp-avg,temp-min,wind-max,wind-avg,wind-min,NDVI,runoff,extreme,latitude,longitude,date,shape,loc,scale
4715,36.08271208,4.320052338,131.5289876,1016.026765,1007.174346,1011.719103,97.48942372,90.68187316,79.66512777,33.19758297,30.01878652,21.97895322,34.66842013,25.03853928,21.97895322,0.605900395,28.42360789,106.4856703,17.0329,104.2962,5/1/2020,-0.043976407,23.264079,23.52192496
4716,35.92553419,4.47815342,136.9614493,1015.88786,1007.134133,1011.563829,97.63980437,90.77229943,79.13432165,34.01842589,30.71477589,21.71571689,47.1154223,25.46741097,21.71571689,0.676626684,51.45977891,81.25720661,17.6027,103.5571,9/1/2023,0.200422093,26.7132703,23.58742069
4717,36.57131019,4.386487633,133.4888741,1016.066223,1007.193197,1011.744932,97.41960843,90.73645178,79.74024855,33.24036511,30.03252418,21.90471524,33.03899847,24.91569616,21.90471524,0.594772513,54.56657175,109.2632047,17.2121,104.3158,5/1/2020,-0.056028064,23.27175482,23.75295498
4718,34.78137957,4.205214473,127.9971979,1015.886772,1007.093018,1011.601278,97.65901669,90.43175642,79.09648169,33.30691224,30.23538083,22.31035245,40.40921656,25.61084979,22.31035245,0.521479546,29.09664546,91.88409126,16.9346,103.9466,5/1/2020,-0.013996572,23.38574211,22.99941938
4801,40.80668883,5.389370512,163.6986942,1015.882569,1007.246737,1011.6644,96.16078921,88.91773772,77.19415332,34.60576206,31.01570325,21.64770537,28.94680781,25.0095879,21.64770537,0.607488578,34.45111675,153.2393682,17.3759,104.7178,8/1/2022,-0.387308889,20.06036962,24.08757845
4802,38.14542755,4.755477858,144.4882869,1015.825414,1007.179691,1011.605625,96.96459372,89.9618592,78.66418276,33.97674403,30.57050767,21.76874306,35.97075102,25.12852705,21.76874306,0.541647532,36.00736283,106.2064776,17.1793,104.5321,8/1/2022,-0.034501572,24.43633436,24.98022568
4803,38.65163905,4.926734772,149.7711619,1015.763134,1007.164237,1011.557831,96.91960252,90.07727763,78.80711133,34.23485359,30.78667633,21.67018884,35.43236945,25.10280404,21.67018884,0.74147863,44.99812385,112.8599363,17.6115,104.4793,8/1/2022,-0.071979742,24.02981362,24.85429411
4804,37.76614289,4.868853769,147.8949399,1015.869686,1007.162599,1011.582993,97.39506327,90.48761497,78.88540847,34.13630395,30.75922996,21.57723191,41.65433929,25.17017029,21.57723191,0.652317079,62.18787814,86.80902287,17.8793,104.2202,9/1/2023,0.156613016,27.02808615,25.20340622
4805,37.60918624,4.586554055,140.2649565,1015.699253,1007.125701,1011.508572,97.07680235,89.66551124,78.3021565,33.76914729,30.40558945,21.71299891,40.90487261,25.16215422,21.71299891,0.54191813,17.51065605,104.5535996,16.9456,104.6916,8/1/2022,0.043292049,24.90728847,24.61378019
4806,37.93515142,4.717631257,143.3647384,1015.761275,1007.166542,1011.565822,97.00340249,89.80233371,78.38005954,33.92454103,30.56106278,21.72477953,38.85818636,25.17254248,21.72477953,0.562847296,25.63198142,106.1040727,17.057,104.6435,8/1/2022,0.008453571,24.82550331,24.88237742
4807,36.89526211,4.466649159,135.8627912,1015.76787,1007.13672,1011.560478,97.26586553,90.02213375,78.72730877,33.61770417,30.34463502,21.80477099,41.48827814,25.23154267,21.80477099,0.530384148,24.58243985,94.07050799,16.9275,104.4925,9/1/2023,0.075398621,25.16016092,24.41883809
4808,37.29597305,4.701495799,142.8791086,1015.864881,1007.163213,1011.59759,97.29799091,90.36281388,78.99004661,33.91534673,30.60968734,21.74469834,39.34138919,25.20302378,21.74469834,0.57237898,52.51741523,86.70127738,17.651,104.2422,9/1/2023,0.085897405,25.86478231,24.91343078
4809,36.23804036,4.457497653,135.5306513,1015.94778,1007.154098,1011.645442,97.4679303,90.5421031,79.28145503,33.52908329,30.33211198,21.93430346,37.7799617,25.23819754,21.93430346,0.517606558,59.21708906,90.66619818,17.4885,104.0885,5/1/2020,0.03376176,24.66717131,23.98931931
4810,38.11899705,4.800958661,145.9126341,1015.822459,1007.170511,1011.594169,97.01922106,90.13925736,78.90102686,34.02645271,30.63741959,21.75421127,35.49525563,25.11277946,21.75421127,0.585902901,44.51927314,103.7881864,17.4753,104.409,8/1/2022,-0.028988762,24.51109613,24.98241483
4811,37.48572274,4.841280704,147.0246661,1015.888897,1007.158848,1011.591332,97.45905387,90.59137186,78.93786096,34.07012021,30.72824916,21.58755784,41.99674677,25.17992903,21.58755784,0.553946523,68.29597504,85.77617519,17.8354,104.1104,9/1/2023,0.161264892,26.97779546,24.95568958
4812,36.91287136,4.486103197,136.443401,1015.900162,1007.169768,1011.639786,97.28226189,90.30711972,79.17246231,33.56725646,30.29577685,21.87267404,37.25354117,25.14088201,21.87267404,0.539426811,39.05697064,88.03398718,17.0832,104.4294,10/1/2021,0.02522327,24.7046811,24.47015052
4901,37.93846941,4.301393021,131.2708787,1015.439776,1006.852643,1011.274511,96.91200065,88.46008247,77.20421331,32.77785678,29.37003408,21.76200204,32.40856738,24.41281576,21.76200204,0.549071866,11.50424529,135.2635915,16.5654,104.6304,8/1/2022,-0.376923292,17.04698132,20.45515335
4902,36.02751575,4.333682261,131.991991,1015.462233,1007.060342,1011.379921,97.3648696,89.56320749,78.16191979,33.45883406,30.15014833,21.4354146,53.80574721,25.31161853,21.4354146,0.610150701,16.34752871,115.0025238,16.3623,104.5627,9/1/2023,-0.032501955,21.63309738,21.92018735
4903,36.02946923,4.371027014,133.1498131,1015.452414,1007.102265,1011.382942,97.32961047,89.55597991,78.39251202,33.45747453,30.12471926,21.27905393,54.47775829,25.25759529,21.27905393,0.601342088,16.35220838,118.6599637,16.2902,104.8052,9/1/2023,-0.054135395,21.20025414,21.72732931
4904,36.44682582,4.36518566,132.8229635,1015.732722,1007.122147,1011.517974,97.37786484,89.96458222,78.67685176,33.55731213,30.31049784,21.79901989,44.60202131,25.32276886,21.79901989,0.661367618,23.02064371,94.05246906,16.8033,104.4073,9/1/2023,0.090347529,25.0204235,23.96493575
4905,36.25426642,4.304891421,131.1657503,1015.617848,1007.120157,1011.469951,97.44907472,89.93685814,78.5306655,33.66873912,30.42518588,21.70843541,51.57681661,25.5172615,21.70843541,0.755467248,14.88081325,97.79021367,16.6353,104.3399,8/1/2019,0.105441414,24.75294451,23.44885594
4906,37.64119453,4.381076546,133.4675893,1015.512548,1006.948955,1011.364275,97.01499464,89.00647636,77.59977227,33.12201553,29.8196113,21.72497486,37.29927242,24.79459597,21.72497486,0.572676,11.51913932,121.8841666,16.7293,104.7375,8/1/2022,-0.155015035,20.71917195,22.37431
4907,35.93368192,4.295485002,130.6973291,1015.518485,1007.131215,1011.421144,97.50069041,89.8583743,78.44247104,33.71260249,30.44776068,21.54333235,57.43579253,25.61407556,21.54333235,0.626001655,17.20330656,105.2029364,16.4583,104.3718,8/1/2019,0.079294971,23.73356522,22.67635696
